"keys","ru","en"
"

Всего пациентов: %d","

Всего пациентов: %d","

Patients in total: %d"
"
8. Дежурный — палата 0","
8. Дежурный — палата 0","
8. The nurse on duty — room 0"
"   |   поручений в очереди: %d","   |   поручений в очереди: %d","   |   orders queued: %d"
" + вязки для пациента"," + вязки для пациента"," + patient restraints"
" + швабра"," + швабра"," + mop"
"%s   %s (нужно %d) — %s","%s   %s (нужно %d) — %s","%s   %s (need %d) — %s"
"%s взгляд %s","%s взгляд %s","%s gaze of %s"
"%s — выполните обязательные задачи смены.","%s — выполните обязательные задачи смены.","%s — complete the shift's required tasks."
"%s — доживите до 06:00.","%s — доживите до 06:00.","%s — live until 06:00."
"%s — палата %d, кровать %d. Браслет и карточка совпадают.","%s — палата %d, кровать %d. Браслет и карточка совпадают.","%s — room %d, bed %d. Wristband and chart match."
"00:00. Вы заступаете на ночную смену.
WASD — движение    Мышь — взгляд    E — действие    F — фонарик    Esc — пауза","00:00. Вы заступаете на ночную смену.
WASD — движение    Мышь — взгляд    E — действие    F — фонарик    Esc — пауза","00:00. You are starting the night shift.
WASD — move    Mouse — look    E — act    F — torch    Esc — pause"
"00:00. Вы заступаете на ночную смену.
Левый стик — движение    Правая часть экрана — взгляд
ДЕЙСТВИЕ — взаимодействие    ФОНАРИК — свет","00:00. Вы заступаете на ночную смену.
Левый стик — движение    Правая часть экрана — взгляд
ДЕЙСТВИЕ — взаимодействие    ФОНАРИК — свет","00:00. You are starting the night shift.
Left stick — move    Right side of the screen — look
ACTION — interact    TORCH — light"
"Esc — закрыть","Esc — закрыть","Esc — close"
"[E] %s — палата %d, кровать %d","[E] %s — палата %d, кровать %d","[E] %s — room %d, bed %d"
"[E] Взять вязки для буйного пациента (медсклад)","[E] Взять вязки для буйного пациента (медсклад)","[E] Take the restraints for the violent patient (supply room)"
"[E] Взять комплект чистого белья","[E] Взять комплект чистого белья","[E] Take a set of clean linen"
"[E] Взять пакет физраствора","[E] Взять пакет физраствора","[E] Take a bag of saline"
"[E] Взять стетоскоп","[E] Взять стетоскоп","[E] Take the stethoscope"
"[E] Взять термометр","[E] Взять термометр","[E] Take the thermometer"
"[E] Взять швабру и ведро","[E] Взять швабру и ведро","[E] Take the mop and bucket"
"[E] Взять: %s","[E] Взять: %s","[E] Take: %s"
"[E] Взять: Аминазин","[E] Взять: Аминазин","[E] Take: Aminazine"
"[E] Взять: Кордиамин","[E] Взять: Кордиамин","[E] Take: Cordiamine"
"[E] Взять: стерильный бинт","[E] Взять: стерильный бинт","[E] Take: sterile bandage"
"[E] Включить аварийный фонарь","[E] Включить аварийный фонарь","[E] Switch on the emergency lamp"
"[E] Включить свет","[E] Включить свет","[E] Switch the light on"
"[E] Вскрыть стерильный бикс","[E] Вскрыть стерильный бикс","[E] Open the sterilisation drum"
"[E] Вызвать лифт","[E] Вызвать лифт","[E] Call the lift"
"[E] Выключить свет","[E] Выключить свет","[E] Switch the light off"
